Nome da Lista;Nome do Card;Descrição do card;Comentários do Card
Currículo encontrado ; Centro Universitário de Araras (UNAR) ; Telefone : (19) 3321-8000 | Site : https://www.unar.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4284422Y3', 'https://www.facebook.com/vandarenata.reis', 'https://www.linkedin.com/search/results/all/?keywords=Vanda%20Renata%20Reis&origin=GLOBAL_SEARCH_HEADER', 'Informações de coordenação obtidas: | Coordenação: | \u200b | Dra. Vanda Renata Reis | E-mail: vanda.reis@unar.edu.br
Currículo encontrado ; Centro Universitário Adventista de São Paulo (UNASP) ; Telefone : (19) 3858-9000 | Site : http://unaspec.educacaoadventista.org.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4757576T6 | ', 'Mantive contato, porém não consegui falar com o mesmo. | Onde obtive seu ramal e nome completo. | Coordenador do curso: | Prof. Dr. Walter Augusto Fonseca de Carvalho | Ramal: |  9427
Informações obtidas / sem currículo ; Universidade de Araraquara (UNIARA) ; Telefone : (16) 3301-7100 | Site : http://www.uniara.com.br/ ; Informações de coordenação obtidas: |  | Coordenador(a): Celia Correia Malva | Email: agronomia@eduvale.com.br
Informações obtidas / sem currículo ; Faculdade Doutor Francisco Maeda (FAFRAM) ; Telefone : (16) 3729-9060 | Site : http://www.fafram.com.br/ ; Informações de coordenação obtidas: | Coordenador: Prof. Msc. Vinícius Antonio Macial Júnior | Email: vmacieljunior@gmail.com
Informações obtidas / sem currículo ; Faculdade Gammon ; Telefone : (18) 3361-9492 | Site : http://www.faculdadesgammon.edu.br/ ; Informações de coordenação obtidas: | Coordenador(a): Reginaldo Campanatti | Email: campanatti@femanet.com.br | Ramal: 200
Informações obtidas / sem currículo ; Universidade Federal de Uberlândia (UFU) ; Telefone : (34) 3238-0647, (34) 3239-4069, (34) 3239-4244 | Site : http://www.cieps.proexc.ufu.br/, http://www.iarte.ufu.br/artes-visuais, http://www.pet.facic.ufu.br/ ; Informações de coordenação obtidas: | Coordenador(a):  Fernando César Juliatti | Telefone: (34) 3225-6708 | Email: coago@ufu.br
Informações obtidas / sem currículo ; Faculdade Três de Maio (SETREM) ; Telefone : (55) 3535-4600 | Site : http://www.setrem.com.br/ ; Informações de coordenação obtidas: | Coordenador(a): Marcos Garrafa | Email: garrafa@setrem.com.br
Informações obtidas / sem currículo ; Faculdade Centro Mato-Grossense ; Telefone : (66) 3544-0649 | Site : http://www.facem.com.br/ ; Informações de coordenação obtidas: | Coordenador afastado, aguardando contratação | Email: agronomia@facem.com.br
Informações obtidas / sem currículo ; Faculdades Unidas do Vale do Araguaia (UNIVAR) ; Telefone : (66) 3402-4900 | Site : http://www.univar.edu.br/ ; Informações de coordenação obtidas: | Coordenador(a): Janne Louize Souza Santos  | Email: agronomia@univar.edu.br | 
Informações obtidas / sem currículo ; Faculdade da Amazônia (FAMA) ; Telefone : (69) 2101-0850 | Site : http://fama-ro.com.br/ ; Conseguimos somente o nome do Coordenador, email e telefone, não fornecidos!! | Coordenador(a): Willian Pereira da Silva
Informações obtidas / sem currículo ; Universidade Estadual do Piauí (UESPI) ; Telefone : (89) 3521-6812, (89) 3573-1234, (89) 3582-1312 | Site : http://www.uespi.br/ ; Diretor: Luis Gonzaga de Figueiredo Júnior | E-Mail:ccauespi@gmail.com | Fone/Fax: (86) 32652047
Currículo encontrado ; Universidade de São Paulo (USP) ; Telefone : (19) 3429-4110 / (19) 3429-4336 | Site : http://www.usp.br/ ; http://buscatextual.cnpq.br/buscatextual/busca.do | ', 'Informações de coordenação obtidas: | Coordenador(a): Sonia Piedade | Email: soniamsp@usp.br | Telefone: (19) 3429-4127
Currículo encontrado ; Faculdades Integradas de Ourinhos (FIO) ; Telefone : (14) 3302-6400 | Site : http://www.fio.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4728081H6', 'Informações de coordenação obtidas: | Coordenador(a): Me. Renato Maravalhas | Email: renato.mcbarros@gmail.com | Ramal: 6449 | 
Currículo encontrado ; Centro Universitário Fundação de Ensino Octávio Bastos (UNIFEOB) ; Telefone : (19) 3631-0582, (19) 3634-3221 | Site : http://unifeob.edu.br/, https://unifeob.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4413389Y8', 'Informações de coordenação obtidas: | Coordenador(a): Paulo Ricardo Casagrande Lazzarini', 'Diego fleury
Currículo encontrado ; Faculdade de Ensino Superior e Formação Integral (FAEF) ; Telefone : (14) 3407-8000 | Site : http://www.faef.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4783799J0', 'Informações de coordenação obtidas: | Coordenadora: | Prof.ª Esp. Maria Regina Baptista Ferraro | Email: agronomia@faef.br
Currículo encontrado ; Faculdade de Tecnologia Paulista ; Telefone : (14) 3474-1551 | Site : http://www.faculdadepaulista.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4215068H5', 'https://www.linkedin.com/in/%C3%A9rika-cristina-souza-da-silva-correia-97a382140/', 'Informações de coordenação obtidas: | Coordenador(a): | Profª. Dra. Érika Cristina Souza da Silva Correia                                            | Email: secretariapaulista@hotmail.com
Currículo encontrado ; Centro Universitário Unifafibe (FAFIBE) ; Telefone : (17) 3344-7100 | Site : http://www.unifafibe.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4786189P0', 'Informações de coordenação obtidas: | Prof.ª Me. Luciene de Andrade Bianchi Lopes | Email: engenharia.agronomica@unifafibe.com.br\t
Currículo encontrado ; Universidade de Marília (UNIMAR) ; Telefone : (14) 2105-4000 | Site : http://www.unimar.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4786189Z1', 'https://www.facebook.com/ronan.gualberto.3', 'https://www.linkedin.com/in/ronan-gualberto-a1773657/', 'Informações de coordenação obtidas: | Coordenação: | Prof. Dr. Ronan Gualberto | Email: rgualberto-fca@unimar.br | (14) 2105 4050
Currículo encontrado ; Centro Universitário Moura Lacerda (CUML) ; Telefone : (16) 2101-1010 | Site : https://www.portalmouralacerda.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4784517D1', 'https://www.facebook.com/glauco.cortez.3', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Dr. Glauco Eduardo Pereira Cortez  | Email: agronomia@mouralacerda.edu.br | 
Currículo encontrado ; Universidade Federal de São Carlos (UFSCAR) ; Telefone : (16) 3351-8111 | Site : http://www.ufscar.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4769095H5', 'Informações de coordenação obtidas: | Coordenador: Prof. Dr. Ricardo Augusto Gorne Viani | Telefone: (19) 3543-2610 | Email: ccea@cca.ufscar.br | Site: Site: http://www.agronomiacca.ufscar.br |  | 
Currículo encontrado ; União Das Faculdades dos Grandes Lagos (UNILAGO) ; Telefone : (17) 3354-6000 | Site : http://www.unilago.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4260845D2', 'https://www.linkedin.com/in/danila-comelis-bertolin-67338324/', 'Informação de coordenação obtidas: | Danila Comelis Bertolin | Contato: danilacomelis@hotmail.com | 
Currículo encontrado ; Centro Universitário Católico Salesiano Auxilium (UNISALESIANO) ; Telefone : (18) 3636-5252 | Site : http://www.unisalesiano.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4760531E6', 'https://www.facebook.com/profile.php?id=100005287335867', 'https://www.linkedin.com/in/carlos-suguitani-84037251/', 'Informações de coordenação obtidas: | Coordenador: | Prof. Dr. Carlos Suguitani | Email: agronomia@unisalesiano.edu.br | 
Currículo encontrado ; Faculdades Integradas de Bauru (FIB) ; Telefone : (14) 2109-6200 | Site : http://www.fibbauru.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4732628P5', 'Informações de coordenação obtidas: | CORPO DOCENTE | Prof. Dra. Evelize de Fátima Saraiva David | Email: agronomia@fibbauru.br
